,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
78,,"Fii Fii","2021-11-20 05:57:01",0,no,no,"Bang Yayan. Keren jawab pertnyaan om Dedi dg minum
.
.ktika dtanya dpet sntunan  gak dei PEMERINTAH",UCMdcNd8Z60Z1fYl5jrEoIUA,UgwuHJLGy8OHRAtHQAh4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwuHJLGy8OHRAtHQAh4AaABAg
79,,"ARYA P9929","2021-11-20 09:07:12",0,no,no,"Kerennnnn kang Yayan bikin bangga kita smua",UCN_1ZBWkb6HTnSikkHwBb-w,UgyQHZ4nVOTJDwz4HjF4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyQHZ4nVOTJDwz4HjF4AaABAg
80,,"Tejo Sanz","2021-11-20 11:39:53",0,no,no,"Mad dog artinya apaan sih?",UCPErzC_n5Q-rlt13hBBm_GA,UgxHs2fvpRPceXGb24p4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxHs2fvpRPceXGb24p4AaABAg
81,,"W chanel","2021-11-20 15:14:03",0,no,no,Inspiratif,UCx-pxx3qCn3TDOAoG2ACPUA,UgzZnkttuIOC2hmT1iB4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzZnkttuIOC2hmT1iB4AaABAg
82,,"Si Kabayan","2021-11-20 17:21:12",0,no,no,"Keren keren keren,,, respect buat kalian berdua.",UCRMprmhhUPND8YtqhSqUgwQ,UgyOSpPJXGfoR_0PGL14AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyOSpPJXGfoR_0PGL14AaABAg
83,,"Dwiki Saputra","2021-11-20 17:26:58",0,no,no,"Undang Alwi bang dedi",UCSXVJgFM5MkMHyGjMiIGoyQ,UgzvwVc0AX-_65WTjSZ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzvwVc0AX-_65WTjSZ4AaABAg
84,,"Dwiki Saputra","2021-11-20 17:27:05",0,no,no,"Pasti seru..",UCSXVJgFM5MkMHyGjMiIGoyQ,UgyTbm0RoXSgka-i5qp4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyTbm0RoXSgka-i5qp4AaABAg
85,,"3 M 20 Detik Chanel","2021-11-20 18:08:22",0,no,no,https://youtube.com/shorts/yJicgFtkhew?feature=share,UCXcdE0Ug4DGssTE8t4TUXvg,Ugx_AwgeLYxPfYZv_8N4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx_AwgeLYxPfYZv_8N4AaABAg
86,,"Juugatsu 13","2021-11-21 04:18:29",0,no,no,"Iko uwais om ded, UP kawan biar di undang (emot api 3X)",UCzEcFg1kepe1m5kDZUGtnRw,UgwxbBmOHRGwQD6t9HJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwxbBmOHRGwQD6t9HJ4AaABAg
87,,"Agung pamuji Achmad","2021-11-21 09:20:40",0,no,no,"enak banget kang yayan pas bilang  colok matanya",UCNKmVcDGVdUjVSW8JSLok8g,Ugzgiq4r7bIapMMPhTd4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugzgiq4r7bIapMMPhTd4AaABAg
88,,"Thio Gaviota","2021-11-21 17:44:22",0,no,no,"Om podcast sama iko uwais sama joe taslim",UCBA3VjNnXpcv1vnxgnJgffw,UgxcFLsYa6bSBbHZi3N4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxcFLsYa6bSBbHZi3N4AaABAg
89,,"Yogi Nugraha Ferdiansyah","2021-11-21 20:41:52",0,no,no,"NEXT LIMBAD !!!!",UC9YwDHDqQzi3VuSlICDzcLw,UgzjkLbXGK1ejlQ9YWp4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzjkLbXGK1ejlQ9YWp4AaABAg
90,,"dias ilyasa","2021-11-22 10:54:55",1,no,no,"Tasikmalaya pride",UCoH-8n5QYEpB0b0NjK0To1g,UgxqZvES3cQwEUExi554AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxqZvES3cQwEUExi554AaABAg
91,,"Adam Kurniadi","2021-11-22 14:19:15",0,no,no,"Humble pisan ieu mah",UC_1aG7xwdNFl0l4KjkNBJIg,UgyOUe2CvqUiO0Thivt4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyOUe2CvqUiO0Thivt4AaABAg
92,,"Arifin Ade Neser","2021-11-22 15:30:13",0,no,no,"Makasih akang yayan , aku dapat ilmu menarik dalam dunia ilmu beladiri 🙏🙏🙏",UCVwExMZzHwgZOieO1Epcj5g,UgzICX4fTU9phA0Vq0t4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzICX4fTU9phA0Vq0t4AaABAg
93,,"sulhan lombok","2021-11-22 16:40:28",0,no,no,"Yayan 🤝",UCHxFU_Ut45sltcvPNmd1zpQ,UgxMhjPG6jsEzY0M9fB4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxMhjPG6jsEzY0M9fB4AaABAg
94,,"rizqi kusuma","2021-11-22 20:13:36",0,no,no,"Woooooww si LEGENDD MADDOG!!!!!🙌🙌💪💪🤜🤜",UCsIHwC8vceaoki8MdTI3gNQ,UgxwMQIhjgwAm8o0Ej54AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxwMQIhjgwAm8o0Ej54AaABAg
95,,E.Ramsay,"2021-11-22 20:56:36",0,no,no,"That’s right we like mad dog here in the UK",UC72dQIwpURThfWrLBr3EsLg,Ugww4LSD91D4CzD9uBJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugww4LSD91D4CzD9uBJ4AaABAg
96,,Athrdy,"2021-11-23 09:53:30",0,no,no,"Bang next iko uwais",UC4gedL3Qs8eQNtVYZnNyLXg,UgyoTxFGU5TWHJRQodt4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyoTxFGU5TWHJRQodt4AaABAg
97,,"TANGAN KANAN THANOS","2021-11-23 14:24:01",0,no,no,Greget🔥🔥🔥,UCdeQCyqrj42pvhVHlQ5Yl-w,UgyM0KgHQ0ZZ9aUe6fN4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyM0KgHQ0ZZ9aUe6fN4AaABAg
98,,kelana-Jiwa.88,"2021-11-24 02:37:14",0,no,no,"Setelah mencapai titik grafik tertinggi ....  maka otomatis akan menurun dg sendiri nya .... 🙏🙏",UCMdoj3ykZUgDBI4NrURpB4w,UgzlH6mbCbSKzdlJpch4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzlH6mbCbSKzdlJpch4AaABAg
99,,"Nizar Iqbal Zaenury","2021-11-24 10:38:54",0,no,no,"video mad dog tendang orang korea 😂 https://youtu.be/aPQuoHigjAA",UCULQGanuP-UCOexUs2M6K5w,UgyB4i8zfxzGlD6yR_p4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyB4i8zfxzGlD6yR_p4AaABAg
100,,"abelio Adipermana","2021-11-24 17:25:11",0,no,no,"Assalamualaikum salam sebagai atlit pencak silat yng masih awam mau sedikit menambah kalau salah silakan luruskan saya atlet pencak silat dari padang ingin membagi info saja kalau sebenarny pencak silat itu bunga dari silat bedanya apa bedany di pencakny karna kalau jurus pencak silat yng di sepakati ippsi gerakany tidak mematah atau membunuh cuman gerakan awam dalam penyerangan tapi kalau silat gerakanny mematah dan membunuh pencak silat membangun karakter atlet ny tapi di silat kita harus mendalami spritual yang lebih mungkin cuman itu yang saya tahu soal silat bela diri asli Minangkabau kampung saya jika ad para angku dan mamak yng ingin menambah atau menyalahkan mohon dibenarkan",UCFt03CkwgU35sPdkRf5DAag,UgxXizjjiqmAuXR2v2l4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxXizjjiqmAuXR2v2l4AaABAg
